hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,0,135,2017,June,24,11,2,2,2,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,410.0,,0,Transient,58.7,0,0,Check-Out,2017-06-15
Resort Hotel,1,17,2015,November,48,23,1,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient,25.0,0,0,Canceled,2015-11-19
City Hotel,1,426,2016,September,37,8,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-10-21
City Hotel,0,5,2017,July,27,4,0,3,1,0.0,0,BB,PRT,Corporate,Corporate,1,1,5,A,A,0,No Deposit,,40.0,0,Transient,65.0,0,1,Check-Out,2017-07-07
City Hotel,0,307,2017,July,27,7,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,B,A,1,No Deposit,9.0,,0,Transient,93.64,0,0,Check-Out,2017-07-09
City Hotel,0,122,2017,May,19,11,0,2,1,0.0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,117.0,0,0,Check-Out,2017-05-13
Resort Hotel,1,103,2017,March,13,27,1,1,2,0.0,0,BB,PRT,Groups,Corporate,0,0,0,D,D,0,Non Refund,495.0,,0,Transient,65.0,0,0,Canceled,2016-12-23
Resort Hotel,0,336,2016,September,38,15,2,8,2,0.0,0,BB,GBR,Groups,Direct,0,0,0,A,F,1,No Deposit,,223.0,0,Transient,72.6,0,0,Check-Out,2016-09-25
City Hotel,0,10,2017,January,2,12,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,103.17,0,1,Check-Out,2017-01-15
Resort Hotel,0,194,2016,September,38,11,2,2,2,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,96.0,,0,Transient,66.8,0,0,Check-Out,2016-09-15
City Hotel,0,72,2015,September,37,11,0,2,1,0.0,0,HB,LUX,Groups,TA/TO,0,0,0,A,D,0,No Deposit,30.0,,0,Transient-Party,98.0,0,0,Check-Out,2015-09-13
City Hotel,0,30,2016,April,18,29,2,2,2,0.0,0,BB,SRB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,140.4,0,1,Check-Out,2016-05-03
City Hotel,0,265,2016,June,26,24,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,6.0,,0,Transient-Party,115.0,0,1,Check-Out,2016-06-26
City Hotel,0,518,2017,August,34,26,2,1,2,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,229.0,,0,Transient-Party,112.67,0,1,Check-Out,2017-08-29
Resort Hotel,0,12,2016,March,12,19,2,1,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,26.0,,0,Transient,53.2,0,0,Check-Out,2016-03-22
City Hotel,1,78,2017,May,19,11,0,2,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,153.0,0,0,Canceled,2017-02-26
Resort Hotel,0,148,2015,August,34,21,0,1,2,2.0,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,,,0,Transient,211.0,1,0,Check-Out,2015-08-22
City Hotel,1,309,2015,August,34,22,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.8,0,0,Canceled,2015-01-01
City Hotel,0,56,2017,July,30,29,1,1,2,0.0,0,SC,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.0,0,0,Check-Out,2017-07-31
City Hotel,1,213,2016,June,24,7,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,19.0,,62,Transient,130.0,0,0,Canceled,2016-01-08
City Hotel,0,86,2016,July,27,1,1,2,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,3,No Deposit,83.0,,0,Transient,86.36,0,0,Check-Out,2016-07-04
City Hotel,0,174,2017,May,19,13,1,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,79.0,,0,Transient,118.8,0,0,Check-Out,2017-05-15
City Hotel,0,5,2015,September,37,7,1,2,1,0.0,0,BB,VEN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,78.03,0,0,Check-Out,2015-09-10
Resort Hotel,0,1,2016,May,20,11,0,0,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,2,A,A,0,No Deposit,,200.0,0,Transient,0.0,0,0,Check-Out,2016-05-11
Resort Hotel,0,3,2017,August,33,19,2,1,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241.0,,0,Transient,211.49,1,1,Check-Out,2017-08-22
Resort Hotel,1,2,2017,July,31,31,1,1,2,0.0,0,BB,RUS,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,230.0,0,1,Canceled,2017-07-29
City Hotel,0,127,2016,December,52,22,0,2,2,0.0,0,BB,IND,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.0,0,3,Check-Out,2016-12-24
City Hotel,0,352,2017,June,23,4,2,2,1,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,21.0,,0,Transient-Party,68.88,0,0,Check-Out,2017-06-08
City Hotel,0,131,2017,July,27,6,1,3,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,89.1,0,0,Check-Out,2017-07-10
City Hotel,0,23,2016,September,38,11,2,0,2,0.0,0,SC,RUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,89.0,0,2,Check-Out,2016-09-13
Resort Hotel,1,187,2017,February,9,28,0,5,2,0.0,0,BB,IRL,Direct,Direct,0,0,0,E,E,0,No Deposit,250.0,,0,Transient,55.8,0,0,Canceled,2017-01-06
City Hotel,0,14,2017,March,11,15,0,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,65.0,1,1,Check-Out,2017-03-16
City Hotel,0,0,2016,May,23,31,0,1,1,0.0,0,BB,PRT,Complementary,Direct,0,0,0,A,A,0,No Deposit,,45.0,0,Transient,0.0,0,0,Check-Out,2016-06-01
City Hotel,0,45,2016,January,1,1,2,2,2,1.0,0,SC,PRT,Online TA,TA/TO,0,0,0,F,F,2,No Deposit,9.0,,0,Contract,159.08,0,3,Check-Out,2016-01-05
City Hotel,1,104,2017,May,20,15,1,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,160.0,0,0,Canceled,2017-01-31
City Hotel,0,21,2016,September,38,17,2,2,2,0.0,0,BB,DEU,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,,0,Transient,162.5,0,0,Check-Out,2016-09-21
City Hotel,0,122,2016,June,25,16,0,3,2,0.0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,116.1,0,2,Check-Out,2016-06-19
City Hotel,0,7,2017,April,15,14,0,2,2,0.0,0,SC,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,144.0,0,2,Check-Out,2017-04-16
Resort Hotel,0,118,2016,July,28,8,2,5,2,0.0,0,BB,PRT,Direct,Direct,0,0,1,F,E,0,No Deposit,250.0,,0,Transient,187.5,1,1,Check-Out,2016-07-15
Resort Hotel,0,94,2016,July,30,21,0,3,2,1.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242.0,,0,Group,182.0,0,2,Check-Out,2016-07-24
City Hotel,1,213,2017,June,26,26,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,323.0,,0,Transient,115.0,0,0,Canceled,2016-11-25
City Hotel,0,1,2015,August,32,5,0,2,3,0.0,0,BB,DEU,Direct,Direct,0,0,0,A,D,0,No Deposit,,,0,Transient-Party,105.0,0,2,Check-Out,2015-08-07
City Hotel,0,143,2017,July,27,7,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85.0,,0,Transient,80.1,0,0,Check-Out,2017-07-10
City Hotel,0,154,2016,April,17,19,0,3,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,75.0,0,0,Check-Out,2016-04-22
Resort Hotel,1,198,2016,October,42,15,2,5,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,240.0,,0,Transient-Party,68.0,0,0,Canceled,2016-08-02
City Hotel,0,44,2016,June,25,18,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,6.0,,0,Transient,96.3,0,0,Check-Out,2016-06-20
City Hotel,0,101,2017,April,15,15,2,1,2,2.0,0,BB,POL,Direct,Direct,0,0,0,E,E,0,No Deposit,14.0,,0,Transient,169.58,0,0,Check-Out,2017-04-18
Resort Hotel,0,111,2017,May,19,8,1,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,314.0,,0,Transient,61.2,0,0,Check-Out,2017-05-12
City Hotel,0,44,2017,July,28,15,1,1,0,0.0,0,SC,SWE,Online TA,TA/TO,0,0,0,A,K,2,No Deposit,425.0,,0,Transient,73.8,0,0,Check-Out,2017-07-17
City Hotel,1,60,2016,December,52,23,0,1,2,2.0,0,BB,AUT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,156.6,0,0,Canceled,2016-10-24
City Hotel,0,80,2017,July,27,7,0,1,2,0.0,0,BB,DNK,Direct,Direct,0,0,0,A,C,0,No Deposit,14.0,,0,Transient-Party,108.0,0,1,Check-Out,2017-07-08
City Hotel,1,175,2017,May,20,19,0,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,44.0,,0,Transient,90.0,0,0,Canceled,2016-11-25
City Hotel,1,137,2015,July,28,11,2,1,2,0.0,0,HB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Transient-Party,86.0,0,0,Canceled,2015-06-29
City Hotel,1,102,2015,October,42,16,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,6.0,,0,Transient-Party,101.5,0,0,Canceled,2015-07-06
City Hotel,0,418,2016,September,40,26,1,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,132.0,,223,Transient-Party,107.0,0,0,Check-Out,2016-09-29
Resort Hotel,0,157,2016,June,26,23,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,E,1,No Deposit,243.0,,0,Contract,64.9,0,1,Check-Out,2016-06-30
Resort Hotel,0,2,2016,July,31,30,2,1,2,0.0,0,BB,PRT,Direct,Corporate,0,0,3,D,F,0,No Deposit,,154.0,0,Transient,182.6,0,0,Check-Out,2016-08-02
City Hotel,0,95,2015,December,51,18,2,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,76.5,0,2,Check-Out,2015-12-23
City Hotel,0,126,2016,July,28,3,2,4,3,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,131.47,0,0,Check-Out,2016-07-09
City Hotel,1,42,2016,September,40,28,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,27.0,,0,Transient,95.0,0,0,Canceled,2016-09-28
City Hotel,1,56,2016,August,35,27,1,1,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,136.35,0,1,Canceled,2016-08-08
Resort Hotel,0,162,2016,October,41,4,2,5,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,242.0,,0,Transient,65.86,0,2,Check-Out,2016-10-11
City Hotel,1,365,2015,October,42,17,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,62.8,0,0,Canceled,2015-01-30
City Hotel,1,281,2016,April,16,14,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-10-21
Resort Hotel,1,4,2017,April,16,21,2,2,1,0.0,0,BB,PRT,Online TA,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,72.0,0,4,Canceled,2017-04-20
City Hotel,1,99,2017,May,20,19,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,121.0,,0,Transient,89.1,0,0,Canceled,2017-02-09
Resort Hotel,0,73,2015,July,31,30,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243.0,,0,Contract,104.0,0,1,Check-Out,2015-08-06
City Hotel,0,65,2015,October,40,2,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,19.0,,59,Transient-Party,100.0,0,0,Check-Out,2015-10-04
City Hotel,0,0,2016,June,25,17,0,1,3,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,9.0,,0,Transient,177.0,0,0,Check-Out,2016-06-18
Resort Hotel,0,25,2015,July,29,17,3,7,2,0.0,0,HB,ESP,Direct,Direct,0,0,0,F,F,1,No Deposit,,,0,Transient,194.9,0,2,Check-Out,2015-07-27
City Hotel,1,39,2015,August,33,14,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,101.5,0,0,Canceled,2015-07-06
City Hotel,0,6,2016,February,6,1,1,0,1,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,81.0,0,0,Check-Out,2016-02-02
City Hotel,0,12,2017,July,29,20,0,2,2,1.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,159.0,0,3,Check-Out,2017-07-22
City Hotel,0,1,2016,July,28,7,0,1,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,152.0,,0,Transient,110.71,0,0,Check-Out,2016-07-08
Resort Hotel,0,4,2016,September,37,10,2,2,2,0.0,0,BB,IRL,Direct,Direct,0,0,0,A,A,0,No Deposit,250.0,,0,Transient,119.0,0,0,Check-Out,2016-09-14
Resort Hotel,0,3,2017,February,5,2,0,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240.0,,0,Transient,56.0,0,2,Check-Out,2017-02-03
City Hotel,0,277,2016,September,37,5,2,5,2,0.0,0,HB,NOR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,21.0,,0,Transient-Party,89.14,0,1,Check-Out,2016-09-12
City Hotel,0,66,2016,October,44,25,0,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,8.0,,0,Transient,99.2,0,1,Check-Out,2016-10-29
City Hotel,1,454,2016,October,41,6,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-10-21
City Hotel,1,305,2016,October,40,1,1,1,2,0.0,0,HB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,35.0,,17,Transient,100.0,0,0,Canceled,2015-12-18
Resort Hotel,0,397,2016,September,39,21,0,4,2,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,96.0,,0,Transient-Party,70.5,0,1,Check-Out,2016-09-25
City Hotel,0,8,2016,June,27,26,2,1,2,0.0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,85.0,,0,Transient,107.0,0,0,Check-Out,2016-06-29
City Hotel,0,43,2016,November,47,19,2,2,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient,68.0,0,0,Check-Out,2016-11-23
City Hotel,1,79,2015,November,46,13,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,60.0,,69,Transient,75.0,0,0,Canceled,2015-11-03
City Hotel,0,19,2015,October,44,27,0,1,1,0.0,0,BB,ESP,Corporate,Corporate,0,0,0,A,A,0,No Deposit,106.0,,0,Group,95.0,0,1,Check-Out,2015-10-28
City Hotel,0,173,2017,August,33,14,1,2,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,112.5,0,1,Check-Out,2017-08-17
City Hotel,0,27,2016,June,25,13,1,3,1,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,7.0,,0,Transient,104.72,0,1,Check-Out,2016-06-17
Resort Hotel,0,169,2016,March,14,31,1,3,2,0.0,0,BB,GBR,Groups,Direct,0,0,0,A,A,0,Refundable,,223.0,0,Transient-Party,66.0,0,0,Check-Out,2016-04-04
City Hotel,1,178,2016,April,18,28,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,19.0,,46,Transient,110.0,0,0,Canceled,2015-12-18
City Hotel,0,180,2017,May,21,25,0,3,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.0,0,1,Check-Out,2017-05-28
Resort Hotel,0,133,2016,August,32,5,2,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,250.0,,0,Transient,203.0,1,0,Check-Out,2016-08-09
City Hotel,0,192,2016,June,26,24,0,2,2,0.0,0,BB,SRB,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,34.0,,0,Transient-Party,110.0,0,0,Check-Out,2016-06-26
City Hotel,1,89,2017,April,15,10,1,3,3,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,159.38,0,0,No-Show,2017-04-10
City Hotel,0,5,2015,November,46,10,0,4,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,76.58,0,1,Check-Out,2015-11-14
City Hotel,1,80,2017,May,22,31,0,2,2,0.0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.0,0,0,Canceled,2017-04-17
Resort Hotel,0,235,2017,July,27,3,4,10,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243.0,,0,Contract,106.85,0,0,Check-Out,2017-07-17
Resort Hotel,1,108,2016,April,18,29,2,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,84.0,0,0,Canceled,2016-02-12
City Hotel,0,234,2017,July,28,10,1,2,2,2.0,0,BB,DEU,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,179.1,0,0,Check-Out,2017-07-13
City Hotel,0,58,2016,December,50,9,0,2,1,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,95.4,0,1,Check-Out,2016-12-11
City Hotel,0,256,2016,October,43,16,2,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,333.0,0,Transient-Party,100.75,0,0,Check-Out,2016-10-21
City Hotel,0,34,2016,January,4,17,2,1,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,27.0,,0,Transient,48.67,0,0,Check-Out,2016-01-20
Resort Hotel,0,47,2017,February,6,6,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,48.0,0,1,Check-Out,2017-02-13
City Hotel,1,73,2016,October,42,12,1,4,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,135.0,0,1,Canceled,2016-10-07
Resort Hotel,1,40,2016,May,21,17,0,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,75.0,0,0,Canceled,2016-05-05
City Hotel,1,106,2015,July,27,4,1,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,68.0,0,0,Canceled,2015-06-01
City Hotel,0,10,2015,November,49,29,2,1,2,1.0,0,BB,ITA,Direct,Direct,0,0,0,A,D,0,No Deposit,,,0,Transient,93.33,0,2,Check-Out,2015-12-02
Resort Hotel,0,10,2015,November,46,8,2,4,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240.0,,0,Transient,71.33,0,0,Check-Out,2015-11-14
City Hotel,0,3,2017,February,8,24,2,3,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,A,0,No Deposit,9.0,,0,Transient,100.3,0,3,Check-Out,2017-03-01
Resort Hotel,1,151,2016,May,21,17,0,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,46.0,0,0,Canceled,2016-01-25
Resort Hotel,0,61,2017,April,13,1,1,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,67.0,1,2,Check-Out,2017-04-03
Resort Hotel,1,122,2015,November,47,20,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,32.4,0,2,Canceled,2015-10-08
Resort Hotel,0,4,2015,November,47,20,0,2,2,0.0,0,HB,ESP,Direct,Direct,0,0,0,F,F,1,No Deposit,250.0,,0,Transient,98.0,0,1,Check-Out,2015-11-22
